[2018-11-08 16:51:58];Carlo;Pezzotti;2001-12-01;123;Mendrisio;Via Alla Chiesa;47574;8767067766;werwerwer@wer.wer;Maschio;;
[2018-11-08 16:52:29];Mattia;Tosca;2001-12-01;8787;Mendrisio;Via Alla Chiesa;8787;87788778878;qweqweqw@qwewqe.com;Femmina;;
[2018-11-08 16:51:58];Andrea;Rauso;2001-12-01;123;Mendrisio;Via Alla Chiesa;47574;8767067766;werwerwer@wer.wer;Maschio;;
[2018-11-08 16:52:29];Lollo;Trollo;2001-12-01;8787;Mendrisio;Via Alla Chiesa;8787;87788778878;qweqweqw@qwewqe.com;Femmina;;
[2018-11-08 16:51:58];Paolo;Weishaupht;2001-12-01;123;Mendrisio;Via Alla Chiesa;47574;8767067766;werwerwer@wer.wer;Femmina;;
[2018-11-08 16:52:29];Paolino;Weisaupthino;2001-12-01;8787;Mendrisio;Via Alla Chiesa;8787;87788778878;qweqweqw@qwewqe.com;Maschio;;
[2018-11-08 16:51:58];Filippo;Finke;2001-12-01;123;Mendrisio;Via Alla Chiesa;47574;8767067766;werwerwer@wer.wer;Femmina;;
[2018-11-08 16:52:29];Armando;Armadillo;2001-12-01;8787;Mendrisio;Via Alla Chiesa;8787;87788778878;qweqweqw@qwewqe.com;Maschio;;
[2018-11-08 16:51:58];Fadil;SamjilBasic;2001-12-01;123;Mendrisio;Via Alla Chiesa;47574;8767067766;werwerwer@wer.wer;Maschio;;
[2018-11-08 16:52:29];Nema;Tomyslak;2001-12-01;8787;Mendrisio;Via Alla Chiesa;8787;87788778878;qweqweqw@qwewqe.com;Femmina;;
